step,loss,embedding_grad_l1_norm,embedding_grad_l2_norm,output_proj_grad_l1_norm,output_proj_grad_l2_norm,embedding_grad_mean,output_proj_grad_mean,embedding_grad_abs_mean,output_proj_grad_abs_mean,embedding_grad_rolling_avg,output_proj_clip_threshold,output_proj_grad_l2_norm_post_clip
1,0.0,194.71986389160156,0.0550391711294651,237.906005859375,0.2805805504322052,1.240327285323417e-16,3.573653959559886e-13,2.9015520794928307e-06,2.309260480615194e-06,0.05437664091587067,0.005437664091587067,0.1402902752161026
2,0.0,275.2716064453125,0.08057975769042969,269.2235412597656,0.9695048332214355,-1.3825746103535153e-15,1.5591450656590733e-13,4.101866579730995e-06,2.613247715999023e-06,0.07626370042562484,0.007626370042562485,0.4847524166107178
3,0.0,180.70375061035156,0.051849398761987686,287.318359375,0.6983425617218018,-6.852157730108388e-17,1.9862187388515126e-14,2.6926957161776954e-06,2.788886831694981e-06,0.05968089252710342,0.0059680892527103424,0.3491712808609009
4,0.0,86.00303649902344,0.02840781956911087,303.95574951171875,0.376880407333374,1.251169307048272e-16,7.499387124753482e-14,1.2815451100323116e-06,2.950379666799563e-06,0.03323512822389603,0.0033235128223896033,0.188440203666687
5,0.0,75.36053466796875,0.022205263376235962,306.9190979003906,0.4254327714443207,-2.389581588158052e-16,-9.544930357164791e-14,1.122959474741947e-06,2.979143573611509e-06,0.02454673871397972,0.002454673871397972,0.21271638572216034
6,0.0,114.03944396972656,0.03443028777837753,328.9932861328125,1.4908019304275513,1.3400738851920835e-16,-1.1301508638433475e-13,1.6993201370496536e-06,3.1934091566654388e-06,0.038285407423973086,0.0038285407423973086,0.7454009652137756
7,0.0,32.159759521484375,0.00987847801297903,317.91546630859375,0.4054456055164337,1.238158880978446e-16,-2.8115161430529098e-14,4.792177605850156e-07,3.0858811896905536e-06,0.01220591478049755,0.0012205914780497552,0.20272280275821686
8,0.0,71.74784851074219,0.02579794079065323,320.3780517578125,0.8728325963020325,-1.6696713456276768e-17,2.245402350381856e-13,1.0691262559703318e-06,3.1097845294425497e-06,0.02038240134716034,0.002038240134716034,0.43641629815101624
9,0.0,37.763389587402344,0.018296658992767334,311.67547607421875,0.4077492654323578,-1.148712201748392e-16,-2.9968741247290986e-13,5.627183554679505e-07,3.0253120257839328e-06,0.014429414831101894,0.0014429414831101895,0.2038746327161789
10,0.0,34.83544158935547,0.018431274220347404,301.19866943359375,0.48295924067497253,4.5211230592645535e-17,2.5666721894558597e-13,5.190885303818504e-07,2.923617557826219e-06,0.009795350302010775,0.0009795350302010777,0.24147962033748627
11,0.0,27.523075103759766,0.011886370368301868,299.64202880859375,0.3620816171169281,-9.955686448848144e-17,-8.576052736887496e-14,4.101257786714996e-07,2.90850789497199e-06,0.02533116303384304,0.002533116303384304,0.18104080855846405
12,0.0,23.899181365966797,0.012331768870353699,297.74371337890625,0.34889692068099976,-1.7726705520137997e-17,5.2817129061197635e-14,3.5612555393527145e-07,2.890081759687746e-06,0.009837361425161362,0.0009837361425161363,0.17444846034049988
13,0.0,15.288918495178223,0.005469969939440489,287.6886901855469,0.45805680751800537,4.445228907190568e-17,-1.1242058445184305e-14,2.2782263897624944e-07,2.7924816095037386e-06,0.014513318333774805,0.0014513318333774807,0.22902840375900269
14,0.0,14.362895965576172,0.006351443473249674,274.5443115234375,0.25947535037994385,3.9519169187096637e-17,-4.644567269305143e-14,2.1402382799351471e-07,2.6648942821339006e-06,0.0065750893205404285,0.0006575089320540429,0.12973767518997192
15,0.0,13.228628158569336,0.005318788345903158,270.589599609375,0.30884137749671936,3.656471826707364e-17,3.7327366403990675e-14,1.9712192056431377e-07,2.626507466629846e-06,0.00684628477320075,0.000684628477320075,0.15442068874835968
16,0.0,14.347726821899414,0.0055806576274335384,266.331787109375,0.35054582357406616,1.1546753136970622e-17,-5.689300078140849e-14,2.137977901384147e-07,2.585178435765556e-06,0.008642466692253947,0.0008642466692253947,0.17527291178703308
17,0.0,10.76462459564209,0.003211801405996084,265.26904296875,0.38876837491989136,3.404394821604484e-17,7.395652693769142e-14,1.6040540629091993e-07,2.5748629468580475e-06,0.0035178389865905047,0.0003517838986590505,0.19438418745994568
18,0.0,15.542198181152344,0.008679767139256,249.44825744628906,0.26240697503089905,2.11148373091552e-17,8.638758924785911e-14,2.3159680040407693e-07,2.421296585453092e-06,0.006085141422227025,0.0006085141422227025,0.13120348751544952
